_date,total_clones,unique_clones
2021-06-19,18,18
2021-06-20,121,37
2021-06-21,60,28
2021-06-22,116,37
2021-06-23,250,46
2021-06-24,129,36
2021-06-25,134,37
2021-06-26,120,34
2021-06-27,122,31
2021-06-28,55,20
2021-06-29,122,29
2021-06-30,139,32
2021-07-01,286,45
2021-07-02,267,37
2021-07-03,251,40
2021-07-04,309,40
2021-07-05,414,43
2021-07-06,161,37
2021-07-07,146,36
2021-07-08,119,33
2021-07-09,123,34
2021-07-10,116,29
2021-07-11,126,33
2021-07-12,159,35
2021-07-13,167,32
2021-07-14,142,31
2021-07-15,195,35
2021-07-16,187,32
2021-07-17,163,33
2021-07-18,180,41
2021-07-19,146,34
2021-07-20,214,38
2021-07-21,183,32
2021-07-22,168,35
2021-07-23,239,40
2021-07-24,150,28
2021-07-25,163,37
2021-07-26,196,37
2021-07-27,161,36
2021-07-28,101,32
2021-07-29,99,40
2021-07-30,172,39
2021-07-31,169,35
2021-08-01,170,36
2021-08-02,168,26
2021-08-03,177,31
2021-08-04,318,40
2021-08-05,214,34
2021-08-06,179,37
2021-08-07,217,28
2021-08-08,166,29
2021-08-09,157,23
2021-08-10,205,31
2021-08-11,391,39
2021-08-12,156,28
2021-08-13,196,30
2021-08-14,157,29
2021-08-15,161,30
2021-08-16,146,25
2021-08-17,151,23
2021-08-18,198,30
2021-08-19,156,28
2021-08-20,159,25
2021-08-21,87,19
2021-08-22,153,22
2021-08-23,142,21
2021-08-24,151,20
2021-08-25,152,22
2021-08-26,232,27
2021-08-27,186,31
2021-08-28,156,24
2021-08-29,162,27
2021-08-30,277,41
2021-08-31,463,41
2021-09-01,227,29
2021-09-02,295,32
2021-09-03,114,26
2021-09-04,189,29
2021-09-05,185,24
2021-09-06,105,21
2021-09-07,401,36
2021-09-08,218,34
2021-09-09,255,29
2021-09-10,314,27
2021-09-11,300,23
2021-09-12,260,21
2021-09-13,238,21
2021-09-14,311,23
2021-09-15,323,25
2021-09-16,331,29
2021-09-17,317,27
2021-09-18,243,25
2021-09-19,353,28
2021-09-20,273,29
2021-09-21,298,26
2021-09-22,301,28
2021-09-23,323,28
2021-09-24,350,29
2021-09-25,279,22
2021-09-26,286,25
2021-09-27,240,24
2021-09-28,347,25
2021-09-29,345,31
2021-09-30,340,27
2021-10-01,291,29
2021-10-02,332,24
2021-10-03,290,27
2021-10-04,245,24
2021-10-05,318,26
2021-10-06,457,36
2021-10-07,313,26
2021-10-08,351,28
2021-10-09,317,27
2021-10-10,247,26
2021-10-11,254,24
2021-10-12,235,22
2021-10-13,232,23
2021-10-14,231,23
2021-10-15,275,25
2021-10-16,268,25
2021-10-17,17,9
2021-10-18,98,12
2021-10-19,320,26
2021-10-20,639,23
2021-10-21,978,26
2021-10-22,798,20
2021-10-23,723,22
2021-10-24,447,21
2021-10-25,770,22
2021-10-26,378,21
2021-10-27,353,23
2021-10-28,218,21
2021-10-29,244,23
2021-10-30,219,18
2021-10-31,251,25
2021-11-01,203,19
2021-11-02,240,21
2021-11-03,206,19
2021-11-04,222,20
2021-11-05,230,21
2021-11-06,232,19
2021-11-07,235,20
2021-11-08,193,19
2021-11-09,224,18
2021-11-10,213,22
2021-11-11,228,20
2021-11-12,236,21
2021-11-13,223,19
2021-11-14,237,21
2021-11-15,255,20
2021-11-16,212,19
2021-11-17,247,22
2021-11-18,255,22
2021-11-19,403,30
2021-11-20,305,24
2021-11-21,208,20
2021-11-22,257,20
2021-11-23,266,20
2021-11-24,242,21
2021-11-25,216,17
2021-11-26,253,20
2021-11-27,211,18
2021-11-28,362,29
2021-11-29,355,26
2021-11-30,137,12
2021-12-01,221,19
2021-12-02,230,21
2021-12-03,224,21
2021-12-04,322,20
2021-12-05,236,22
2021-12-06,228,19
2021-12-07,211,18
2021-12-08,229,19
2021-12-09,231,19
2021-12-10,227,19
2021-12-11,263,22
2021-12-12,236,22
2021-12-13,193,17
2021-12-14,215,20
2021-12-15,230,18
2021-12-16,234,19
2021-12-17,245,21
2021-12-18,255,21
2021-12-19,248,20
2021-12-20,354,23
2021-12-21,264,22
2021-12-22,215,16
2021-12-23,240,21
2021-12-24,237,19
2021-12-25,250,20
2021-12-26,237,21
2021-12-27,241,20
2021-12-28,266,20
2021-12-29,238,18
2021-12-30,226,17
2021-12-31,241,22
2022-01-01,220,19
2022-01-02,225,18
2022-01-03,220,17
2022-01-04,211,18
2022-01-05,239,16
2022-01-06,289,20
2022-01-07,329,24
2022-01-08,327,23
2022-01-09,173,17
2022-01-10,293,24
2022-01-11,263,21
2022-01-12,152,15
2022-01-13,240,23
2022-01-14,267,22
2022-01-15,230,21
2022-01-16,252,24
2022-01-17,240,17
2022-01-18,249,19
2022-01-19,273,25
2022-01-20,253,22
2022-01-21,246,22
2022-01-22,205,17
2022-01-23,257,24
2022-01-24,327,25
2022-01-25,196,20
2022-01-26,213,22
2022-01-27,243,25
2022-01-28,254,22
2022-01-29,226,17
2022-01-30,270,23
2022-01-31,339,21
2022-02-01,255,20
2022-02-02,260,23
2022-02-03,202,16
2022-02-04,225,20
2022-02-05,250,20
2022-02-06,251,20
2022-02-07,232,20
2022-02-08,237,18
2022-02-09,253,19
2022-02-10,241,20
2022-02-11,242,22
2022-02-12,201,16
